metrica,valor
configuracion.modelo,fastino/gliner2-privacy-filter-PII-multi
configuracion.schema,schema_v3_persona_structured
configuracion.threshold,0.65
configuracion.cantidad_documentos_dataset_documentos,80
configuracion.cantidad_documentos_dataset_fragmentos,80
configuracion.cantidad_documentos_comparados,80
configuracion.cantidad_fragmentos,235
configuracion.ids_solo_documentos,[]
configuracion.ids_solo_fragmentos,[]
configuracion.ids_comunes,"[""494151"", ""494160"", ""495011"", ""495014"", ""495683"", ""495686"", ""495690"", ""498352"", ""501201"", ""501211"", ""501696"", ""503810"", ""503824"", ""507931"", ""507932"", ""513482"", ""513487"", ""513551"", ""514558"", ""516901"", ""516903"", ""516904"", ""518796"", ""522290"", ""523977"", ""523990"", ""523996"", ""524013"", ""524053"", ""524057"", ""525055"", ""526651"", ""529383"", ""529783"", ""529847"", ""531066"", ""531075"", ""531094"", ""532501"", ""534526"", ""535814"", ""535837"", ""535845"", ""536705"", ""536707"", ""536715"", ""536718"", ""536721"", ""536724"", ""536725"", ""536728"", ""536730"", ""536738"", ""536739"", ""536741"", ""536742"", ""536750"", ""538037"", ""538066"", ""538081"", ""538084"", ""538090"", ""538114"", ""538118"", ""538119"", ""538120"", ""538122"", ""542996"", ""543609"", ""543631"", ""546236"", ""546238"", ""546314"", ""546332"", ""546334"", ""547366"", ""547369"", ""547372"", ""547373"", ""547376""]"
cobertura_documentos_completos.total_documentos,80
cobertura_documentos_completos.documentos_con_alguna_deteccion.cantidad,76
cobertura_documentos_completos.documentos_con_alguna_deteccion.porcentaje,95.0
cobertura_documentos_completos.documentos_con_nombre.cantidad,36
cobertura_documentos_completos.documentos_con_nombre.porcentaje,45.0
cobertura_documentos_completos.documentos_con_dni.cantidad,70
cobertura_documentos_completos.documentos_con_dni.porcentaje,87.5
cobertura_documentos_completos.documentos_con_cuil_cuit.cantidad,39
cobertura_documentos_completos.documentos_con_cuil_cuit.porcentaje,48.75
cobertura_documentos_completos.documentos_no_detectados.cantidad,4
cobertura_documentos_completos.documentos_no_detectados.porcentaje,5.0
cobertura_documentos_completos.documentos_multiples_candidatos.cantidad,1
cobertura_documentos_completos.documentos_multiples_candidatos.porcentaje,1.25
cobertura_fragmentos_por_documento.total_documentos,80
cobertura_fragmentos_por_documento.total_fragmentos,235
cobertura_fragmentos_por_documento.documentos_con_alguna_deteccion.cantidad,68
cobertura_fragmentos_por_documento.documentos_con_alguna_deteccion.porcentaje,85.0
cobertura_fragmentos_por_documento.documentos_con_nombre.cantidad,66
cobertura_fragmentos_por_documento.documentos_con_nombre.porcentaje,82.5
cobertura_fragmentos_por_documento.documentos_con_dni.cantidad,52
cobertura_fragmentos_por_documento.documentos_con_dni.porcentaje,65.0
cobertura_fragmentos_por_documento.documentos_con_cuil_cuit.cantidad,17
cobertura_fragmentos_por_documento.documentos_con_cuil_cuit.porcentaje,21.25
cobertura_fragmentos_por_documento.documentos_sin_deteccion_en_ningun_fragmento.cantidad,12
cobertura_fragmentos_por_documento.documentos_sin_deteccion_en_ningun_fragmento.porcentaje,15.0
cobertura_fragmentos_por_documento.documentos_con_multiples_nombres_distintos.cantidad,15
cobertura_fragmentos_por_documento.documentos_con_multiples_nombres_distintos.porcentaje,18.75
cobertura_fragmentos_por_documento.documentos_con_multiples_dni_distintos.cantidad,1
cobertura_fragmentos_por_documento.documentos_con_multiples_dni_distintos.porcentaje,1.25
cobertura_fragmentos_por_documento.documentos_con_multiples_cuil_cuit_distintos.cantidad,1
cobertura_fragmentos_por_documento.documentos_con_multiples_cuil_cuit_distintos.porcentaje,1.25
agreement_entre_modos.acuerdo_nombre_count,17
agreement_entre_modos.acuerdo_nombre_denominador,30
agreement_entre_modos.acuerdo_nombre_pct,56.6667
agreement_entre_modos.acuerdo_dni_count,46
agreement_entre_modos.acuerdo_dni_denominador,49
agreement_entre_modos.acuerdo_dni_pct,93.8776
agreement_entre_modos.acuerdo_cuil_cuit_count,11
agreement_entre_modos.acuerdo_cuil_cuit_denominador,13
agreement_entre_modos.acuerdo_cuil_cuit_pct,84.6154
deteccion_exclusiva.total_documentos_comparados,80
deteccion_exclusiva.nombre.solo_documento.cantidad,6
deteccion_exclusiva.nombre.solo_documento.porcentaje,7.5
deteccion_exclusiva.nombre.solo_fragmentos.cantidad,36
deteccion_exclusiva.nombre.solo_fragmentos.porcentaje,45.0
deteccion_exclusiva.nombre.ambos.cantidad,30
deteccion_exclusiva.nombre.ambos.porcentaje,37.5
deteccion_exclusiva.nombre.ninguno.cantidad,8
deteccion_exclusiva.nombre.ninguno.porcentaje,10.0
deteccion_exclusiva.dni.solo_documento.cantidad,21
deteccion_exclusiva.dni.solo_documento.porcentaje,26.25
deteccion_exclusiva.dni.solo_fragmentos.cantidad,3
deteccion_exclusiva.dni.solo_fragmentos.porcentaje,3.75
deteccion_exclusiva.dni.ambos.cantidad,49
deteccion_exclusiva.dni.ambos.porcentaje,61.25
deteccion_exclusiva.dni.ninguno.cantidad,7
deteccion_exclusiva.dni.ninguno.porcentaje,8.75
deteccion_exclusiva.cuil_cuit.solo_documento.cantidad,26
deteccion_exclusiva.cuil_cuit.solo_documento.porcentaje,32.5
deteccion_exclusiva.cuil_cuit.solo_fragmentos.cantidad,4
