metrica,valor
configuracion.modelo,fastino/gliner2-privacy-filter-PII-multi
configuracion.schema,schema_v1_persona_simple
configuracion.schema_simple,True
configuracion.threshold,0.6
configuracion.cantidad_documentos_dataset_documentos,80
configuracion.cantidad_documentos_dataset_fragmentos,80
configuracion.cantidad_documentos_comparados,80
configuracion.cantidad_fragmentos,333
configuracion.ids_solo_documentos,[]
configuracion.ids_solo_fragmentos,[]
configuracion.ids_comunes,"[""494151"", ""494160"", ""495011"", ""495014"", ""495683"", ""495686"", ""495690"", ""498352"", ""501201"", ""501211"", ""501696"", ""503810"", ""503824"", ""507931"", ""507932"", ""513482"", ""513487"", ""513551"", ""514558"", ""516901"", ""516903"", ""516904"", ""518796"", ""522290"", ""523977"", ""523990"", ""523996"", ""524013"", ""524053"", ""524057"", ""525055"", ""526651"", ""529383"", ""529783"", ""529847"", ""531066"", ""531075"", ""531094"", ""532501"", ""534526"", ""535814"", ""535837"", ""535845"", ""536705"", ""536707"", ""536715"", ""536718"", ""536721"", ""536724"", ""536725"", ""536728"", ""536730"", ""536738"", ""536739"", ""536741"", ""536742"", ""536750"", ""538037"", ""538066"", ""538081"", ""538084"", ""538090"", ""538114"", ""538118"", ""538119"", ""538120"", ""538122"", ""542996"", ""543609"", ""543631"", ""546236"", ""546238"", ""546314"", ""546332"", ""546334"", ""547366"", ""547369"", ""547372"", ""547373"", ""547376""]"
cobertura_documentos_completos.total_documentos,80
cobertura_documentos_completos.documentos_con_alguna_deteccion.cantidad,77
cobertura_documentos_completos.documentos_con_alguna_deteccion.porcentaje,96.25
cobertura_documentos_completos.documentos_con_nombre.cantidad,77
cobertura_documentos_completos.documentos_con_nombre.porcentaje,96.25
cobertura_documentos_completos.documentos_no_detectados.cantidad,3
cobertura_documentos_completos.documentos_no_detectados.porcentaje,3.75
cobertura_documentos_completos.documentos_multiples_candidatos.cantidad,72
cobertura_documentos_completos.documentos_multiples_candidatos.porcentaje,90.0
cobertura_documentos_completos.documentos_candidato_unico.cantidad,5
cobertura_documentos_completos.documentos_candidato_unico.porcentaje,6.25
cobertura_fragmentos_por_documento.total_documentos,80
cobertura_fragmentos_por_documento.total_fragmentos,333
cobertura_fragmentos_por_documento.documentos_con_alguna_deteccion.cantidad,76
cobertura_fragmentos_por_documento.documentos_con_alguna_deteccion.porcentaje,95.0
cobertura_fragmentos_por_documento.documentos_con_nombre.cantidad,76
cobertura_fragmentos_por_documento.documentos_con_nombre.porcentaje,95.0
cobertura_fragmentos_por_documento.documentos_sin_deteccion_en_ningun_fragmento.cantidad,4
cobertura_fragmentos_por_documento.documentos_sin_deteccion_en_ningun_fragmento.porcentaje,5.0
cobertura_fragmentos_por_documento.documentos_con_multiples_nombres_distintos.cantidad,50
cobertura_fragmentos_por_documento.documentos_con_multiples_nombres_distintos.porcentaje,62.5
cobertura_fragmentos_por_documento.documentos_con_un_nombre_unico.cantidad,26
cobertura_fragmentos_por_documento.documentos_con_un_nombre_unico.porcentaje,32.5
agreement_entre_modos.acuerdo_nombre_count,47
agreement_entre_modos.acuerdo_nombre_denominador,74
agreement_entre_modos.acuerdo_nombre_pct,63.5135
deteccion_exclusiva.total_documentos_comparados,80
deteccion_exclusiva.nombre.solo_documento.cantidad,3
deteccion_exclusiva.nombre.solo_documento.porcentaje,3.75
deteccion_exclusiva.nombre.solo_fragmentos.cantidad,2
deteccion_exclusiva.nombre.solo_fragmentos.porcentaje,2.5
deteccion_exclusiva.nombre.ambos.cantidad,74
deteccion_exclusiva.nombre.ambos.porcentaje,92.5
deteccion_exclusiva.nombre.ninguno.cantidad,1
deteccion_exclusiva.nombre.ninguno.porcentaje,1.25
ambiguedad_fragmentos.nombre.0_unicos.cantidad,4
ambiguedad_fragmentos.nombre.0_unicos.porcentaje,5.0
ambiguedad_fragmentos.nombre.1_unico.cantidad,26
ambiguedad_fragmentos.nombre.1_unico.porcentaje,32.5
ambiguedad_fragmentos.nombre.mas_de_1_unico.cantidad,50
ambiguedad_fragmentos.nombre.mas_de_1_unico.porcentaje,62.5
confidence.documentos.nombre_confidence.media,0.8518651081370069
confidence.documentos.nombre_confidence.mediana,0.8866727948188782
confidence.documentos.nombre_confidence.minimo,0.6289710402488708
confidence.documentos.nombre_confidence.maximo,0.9978592991828918
confidence.fragmentos.nombre_confidence_max_por_documento.media,0.881834717957597
confidence.fragmentos.nombre_confidence_max_por_documento.mediana,0.9230293333530426
confidence.fragmentos.nombre_confidence_max_por_documento.minimo,0.605503499507904
confidence.fragmentos.nombre_confidence_max_por_documento.maximo,0.9995993971824646
confidence.fragmentos.nombre_confidence_media_por_documento.media,0.8284710444496686
confidence.fragmentos.nombre_confidence_media_por_documento.mediana,0.818320021033287
confidence.fragmentos.nombre_confidence_media_por_documento.minimo,0.605503499507904
confidence.fragmentos.nombre_confidence_media_por_documento.maximo,0.9975852767626444
rendimiento.tiempo_total_documentos,
rendimiento.tiempo_total_fragmentos,
rendimiento.segundos_por_documento_documentos,
rendimiento.segundos_por_documento_fragmentos,
rendimiento.segundos_por_fragmento,
rendimiento.speedup_fragmentos_vs_documentos,
