id,numero_archivo,nombre,cantidad_resultados,cantidad_candidatos,modo_entrada
538118,1,Embargo - usuario,4,4,fragmentos
538084,2,Embargo - usuario,2,2,fragmentos
495011,3,Embargo - usuario,3,3,fragmentos
534526,4,Embargo - Empleado,2,2,fragmentos
542996,5,Embargo - usuario,2,2,fragmentos
538081,6,Embargo - usuario,2,2,fragmentos
524057,7,Embargo - usuario,1,1,fragmentos
536725,8,Embargo - usuario,1,1,fragmentos
536741,9,Embargo - usuario,1,1,fragmentos
524053,10,Embargo - usuario,3,3,fragmentos
546314,11,Embargo - usuario,2,2,fragmentos
529383,12,Embargo - usuario,3,3,fragmentos
538122,13,Embargo - usuario,3,3,fragmentos
536721,14,Embargo - usuario,2,2,fragmentos
516904,15,Embargo - usuario,1,1,fragmentos
546236,16,Embargo - usuario,1,1,fragmentos
546332,17,Embargo - usuario,3,3,fragmentos
538119,18,Embargo - usuario,3,3,fragmentos
501696,19,Embargo - usuario,4,4,fragmentos
536705,20,Embargo - usuario,2,2,fragmentos
535845,21,Embargo - usuario,3,8,fragmentos
536718,22,Embargo - usuario,2,2,fragmentos
536742,23,Embargo - usuario,3,3,fragmentos
535814,24,Embargo - usuario,4,4,fragmentos
518796,25,Embargo - usuario,4,4,fragmentos
495683,26,Embargo - usuario,1,1,fragmentos
516903,27,Embargo - usuario,2,2,fragmentos
538120,28,Embargo - usuario,2,2,fragmentos
532501,29,Embargo - usuario,2,2,fragmentos
503824,30,Embargo - usuario,2,1,fragmentos
536750,31,Embargo - usuario,1,1,fragmentos
514558,32,Embargo - usuario,4,4,fragmentos
494160,33,Embargo - usuario,4,6,fragmentos
529783,34,Embargo - usuario,7,7,fragmentos
525055,35,Embargo - usuario,3,3,fragmentos
501211,36,Embargo - usuario,2,2,fragmentos
531075,37,Embargo - usuario,1,1,fragmentos
494151,38,Embargo - usuario,1,1,fragmentos
546334,39,Embargo - usuario,3,3,fragmentos
547373,40,Embargo - usuario,4,4,fragmentos
507932,41,Embargo - usuario,3,3,fragmentos
538090,42,Embargo - usuario,2,2,fragmentos
531066,43,Embargo - Empleado,2,2,fragmentos
513551,44,Embargo - usuario,1,1,fragmentos
522290,45,Embargo - usuario,2,2,fragmentos
501201,46,Embargo - usuario,2,2,fragmentos
538037,47,Embargo - usuario,3,3,fragmentos
538114,48,Embargo - usuario,2,2,fragmentos
529847,49,Embargo - usuario,2,2,fragmentos
495014,50,Embargo - usuario,1,1,fragmentos
543609,51,Embargo - usuario,1,1,fragmentos
535837,52,Embargo - usuario,2,2,fragmentos
503810,53,Embargo - usuario,3,3,fragmentos
495686,54,Embargo - usuario,1,1,fragmentos
495690,55,Embargo - usuario,1,1,fragmentos
536730,56,Embargo - usuario,4,4,fragmentos
507931,57,Embargo - usuario,3,3,fragmentos
536724,58,Embargo - usuario,2,2,fragmentos
536738,59,Embargo - usuario,2,2,fragmentos
516901,60,Embargo - usuario,3,3,fragmentos
547366,61,Embargo - usuario,2,2,fragmentos
523996,62,Embargo - usuario,1,1,fragmentos
523977,63,Embargo - usuario,1,1,fragmentos
543631,64,Embargo - usuario,2,2,fragmentos
523990,65,Embargo - usuario,1,1,fragmentos
513487,66,Embargo - usuario,1,1,fragmentos
547376,67,Embargo - usuario,1,1,fragmentos
524013,68,Embargo - usuario,1,1,fragmentos
498352,69,Embargo - usuario,2,2,fragmentos
526651,70,Embargo - usuario,4,4,fragmentos
531094,71,Embargo - usuario,3,3,fragmentos
547369,72,Embargo - usuario,3,3,fragmentos
536715,73,Embargo - usuario,3,3,fragmentos
536707,74,Embargo - usuario,2,2,fragmentos
547372,75,Embargo - usuario,2,2,fragmentos
538066,76,Embargo - usuario,1,1,fragmentos
536739,77,Embargo - usuario,2,2,fragmentos
546238,78,Embargo - usuario,1,1,fragmentos
513482,79,Embargo - usuario,2,3,fragmentos
536728,80,Embargo - usuario,1,1,fragmentos
